paper_id,title,year,citation_key,arxiv_id,doi,url,record_origin,substrate,adaptation,outcome,outcome_detail,substrate_score,substrate_margin,adaptation_score,adaptation_margin,outcome_score,outcome_margin,outcome_detail_score,outcome_detail_margin,confidence,source_status
agentdojo-a-dynamic-environment-to-evaluate-prompt-injection-attacks-and-defense,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,2024,debenedetti2024agentdojo,2406.13352,10.48550/arXiv.2406.13352,https://arxiv.org/abs/2406.13352,registry,Tools & Skills,Add,Response,Monitoring & Containment,3.10,0.60,7.45,1.00,25.40,16.00,12.00,10.00,low,full_text
a-survey-on-backdoor-threats-in-large-language-models-llms-attacks-defenses-and,"A Survey on Backdoor Threats in Large Language Models (LLMs): Attacks, Defenses, and Evaluation Methods",2025,zhou_2025_a_survey_on_backdoor_threats,,10.53941/tai.2025.100003,https://doi.org/10.53941/tai.2025.100003,registry,Memory,Add,Violation,Persistent Descendants,2.50,0.00,7.45,4.57,21.20,6.50,4.40,1.40,low,full_text
injecagent-benchmarking-indirect-prompt-injections-in-tool-integrated-large-lang,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,2024,zhan_2024_injecagent_benchmarking_indi,,10.48550/arxiv.2403.02691,http://arxiv.org/abs/2403.02691,registry,Tools & Skills,Add,Response,Monitoring & Containment,7.10,5.10,7.45,0.93,18.05,10.45,11.76,9.76,low,full_text
agent-security-bench-asb-formalizing-and-benchmarking-attacks-and-defenses-in-ll,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,2024,zhang_2024_agent_security_bench_asb_for,,10.48550/arxiv.2410.02644,http://arxiv.org/abs/2410.02644,registry,Memory,Modify,Response,Monitoring & Containment,4.03,2.03,2.00,1.42,16.90,4.15,6.76,2.36,low,full_text
unique-security-and-privacy-threats-of-large-language-models-a-comprehensive-sur,Unique Security and Privacy Threats of Large Language Models: A Comprehensive Survey,2024,wang_2024_unique_security_and_privacy,,10.48550/arxiv.2406.07973,http://arxiv.org/abs/2406.07973,registry,Memory,Modify,Violation,Privacy & Purpose,3.25,0.75,2.30,2.30,16.50,12.00,6.00,3.00,low,full_text
r-judge-benchmarking-safety-risk-awareness-for-llm-agents,R-Judge: Benchmarking Safety Risk Awareness for LLM Agents,2024,yuan2024rjudge,2401.10019,10.48550/arXiv.2401.10019,https://arxiv.org/abs/2401.10019,registry,Tools & Skills,Modify,Response,Monitoring & Containment,2.50,0.50,0.45,0.45,16.55,3.35,8.38,6.38,low,full_text
recommender-systems-meet-large-language-model-agents-a-survey,Recommender Systems Meet Large Language Model Agents: A Survey,2025,zhu_2025_recommender_systems_meet_lar,,10.1561/3300000050,https://doi.org/10.1561/3300000050,registry,Workflow,Modify,Response,Monitoring & Containment,2.00,2.00,2.00,2.00,13.00,13.00,7.30,5.30,low,source_limited
privacyasst-safeguarding-user-privacy-in-tool-using-large-language-model-agents,PrivacyAsst: Safeguarding User Privacy in Tool-Using Large Language Model Agents,2024,zhang_2024_privacyasst_safeguarding_use,,10.1109/tdsc.2024.3372777,https://doi.org/10.1109/tdsc.2024.3372777,registry,Tools & Skills,Modify,Violation,Privacy & Purpose,6.50,2.50,10.60,10.60,6.50,1.00,6.00,3.00,medium,abstract_or_short
prompt-injection-attacks-in-large-language-models-and-ai-agent-systems-a-compreh,"Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms",2026,gulyamov_2026_prompt_injection_attacks_in,,10.3390/info17010054,https://doi.org/10.3390/info17010054,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,9.50,14.00,7.00,21.00,15.50,10.00,6.00,high,abstract_or_short
fine-tuned-large-language-models-llms-improved-prompt-injection-attacks-detectio,Fine-tuned Large Language Models (LLMs): Improved Prompt Injection Attacks Detection,2025,rahman_2025_fine_tuned_large_language_mo,,10.1109/compsac65507.2025.00134,https://doi.org/10.1109/compsac65507.2025.00134,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,5.50,14.00,7.00,18.50,14.50,10.00,6.00,high,abstract_or_short
